<DATETIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
01/08/2025 09:00:00,367.65,368.05,366.55,366.85,429113
01/08/2025 09:05:00,366.95,368.6,366.95,368.2,200955
01/08/2025 09:10:00,368.25,368.55,367.85,368.2,151336
01/08/2025 09:15:00,368.3,368.85,368.3,368.5,152367
01/08/2025 09:20:00,368.4,368.75,368.2,368.75,112527
01/08/2025 09:25:00,368.65,368.7,367.9,368.55,105190
01/08/2025 09:30:00,368.55,368.65,368.2,368.55,103323
01/08/2025 09:35:00,368.65,368.7,368.45,368.45,82997
01/08/2025 09:40:00,368.35,368.4,367.55,367.65,91777
01/08/2025 09:45:00,367.7,367.75,367.25,367.3,75381
01/08/2025 09:50:00,367.45,368.1,367.45,368,39277
01/08/2025 09:55:00,368,368.25,367.75,367.9,122199
01/08/2025 10:00:00,367.8,368.45,367.65,368.35,75255
01/08/2025 10:05:00,368.3,368.3,367.9,368,74104
01/08/2025 10:10:00,367.5,367.55,367.15,367.3,76945
01/08/2025 10:15:00,367.35,367.85,367.15,367.8,137253
01/08/2025 10:20:00,367.8,367.8,367.55,367.55,39620
01/08/2025 10:25:00,367.55,367.55,366.65,366.85,58974
01/08/2025 10:30:00,367.1,367.1,366.75,366.75,60657
01/08/2025 10:35:00,366.85,367.2,366.6,366.7,52808
01/08/2025 10:40:00,366.75,367.3,366.45,366.45,67024
01/08/2025 10:45:00,366.4,366.9,366.2,366.85,50928
01/08/2025 10:50:00,366.85,367.05,366.3,366.45,86098
01/08/2025 10:55:00,366.55,366.8,366.25,366.3,65443
01/08/2025 11:00:00,366.25,366.25,365.8,365.8,47324
01/08/2025 11:05:00,365.95,366,365.7,365.85,62937
01/08/2025 11:10:00,366.15,366.35,366,366,46817
01/08/2025 11:15:00,366.25,366.35,365.9,366.15,76447
01/08/2025 11:20:00,366.15,366.15,365.75,365.8,45952
01/08/2025 11:25:00,366.2,366.2,365.9,365.9,87959
01/08/2025 11:30:00,365.95,366.15,365.85,365.85,53788
01/08/2025 11:35:00,365.85,366.5,365.85,366.45,47545
01/08/2025 11:40:00,366.75,367,366.65,367,36454
01/08/2025 11:45:00,367,367.25,366.65,366.65,65429
01/08/2025 11:50:00,366.65,366.7,366.55,366.7,50582
01/08/2025 11:55:00,366.65,366.75,366.45,366.45,46526
01/08/2025 12:00:00,366.25,366.3,365.85,365.85,49471
01/08/2025 12:05:00,365.7,365.9,365.15,365.15,40234
01/08/2025 12:10:00,365.1,365.15,364.85,365.15,29780
01/08/2025 12:15:00,365.2,365.6,365.2,365.35,38689
01/08/2025 12:20:00,365.2,365.4,364.7,364.7,33298
01/08/2025 12:25:00,364.65,364.65,364.25,364.3,38777
01/08/2025 12:30:00,364.05,364.1,363.75,363.9,33899
01/08/2025 12:35:00,363.95,364.15,363.75,364.1,59674
01/08/2025 12:40:00,364.3,364.3,363.9,363.9,65575
01/08/2025 12:45:00,363.7,363.8,363.45,363.55,44365
01/08/2025 12:50:00,363.6,363.6,363,363.1,38808
01/08/2025 12:55:00,363.1,363.45,363.1,363.35,34641
01/08/2025 13:00:00,363.35,363.65,363.25,363.6,64826
01/08/2025 13:05:00,363.7,363.95,363.35,363.9,78378
01/08/2025 13:10:00,364,364.6,364,364.3,90985
01/08/2025 13:15:00,364.35,364.75,364.2,364.6,53284
01/08/2025 13:20:00,364.55,364.6,364.45,364.45,49144
01/08/2025 13:25:00,364.45,364.55,364.2,364.3,57080
01/08/2025 13:30:00,364.35,364.55,364.25,364.3,46258
01/08/2025 13:35:00,364.4,364.4,363.55,363.55,44195
01/08/2025 13:40:00,363.7,363.75,363.45,363.75,52081
01/08/2025 13:45:00,363.7,363.85,363.55,363.75,36928
01/08/2025 13:50:00,363.85,363.9,363.2,363.3,50487
01/08/2025 13:55:00,363.25,363.75,363.25,363.65,65399
01/08/2025 14:00:00,363.7,363.7,363.35,363.45,41581
01/08/2025 14:05:00,363.4,363.4,363.1,363.25,38243
01/08/2025 14:10:00,363.3,363.4,363.1,363.1,54434
01/08/2025 14:15:00,363.05,363.25,363.05,363.2,57322
01/08/2025 14:20:00,363.25,363.25,362.75,362.9,43659
01/08/2025 14:25:00,363.05,363.4,362.65,363.3,55711
01/08/2025 14:30:00,363.25,363.25,360.65,360.85,952178
01/08/2025 14:35:00,360.7,361.65,360.55,361.55,134012
01/08/2025 14:40:00,361.7,361.85,361.1,361.65,118533
01/08/2025 14:45:00,361.6,361.6,360.9,361.15,122914
01/08/2025 14:50:00,361.25,361.4,360.05,360.1,227691
01/08/2025 14:55:00,360.15,360.15,359.25,359.85,304333
01/08/2025 15:00:00,359.95,360.3,359.65,359.8,139075
01/08/2025 15:05:00,359.8,359.9,359.4,359.4,101799
01/08/2025 15:10:00,359.35,359.45,358.8,358.9,82181
01/08/2025 15:15:00,358.95,359.45,358.55,359.15,122201
01/08/2025 15:20:00,359.15,359.3,358.55,358.65,203161
01/08/2025 15:25:00,358.8,358.8,358.25,358.3,92303
01/08/2025 15:30:00,358.3,358.35,355.2,355.7,949777
01/08/2025 15:35:00,355.75,355.95,354.35,354.45,549402
01/08/2025 15:40:00,354.35,354.65,353.4,353.45,414229
01/08/2025 15:45:00,353.5,354.2,352.8,352.95,451690
01/08/2025 15:50:00,353.15,354.4,353.05,353.75,244182
01/08/2025 15:55:00,353.9,354.9,353.75,354.4,291465
01/08/2025 16:00:00,354.45,354.45,352.6,353.75,539278
01/08/2025 16:05:00,353.6,355.05,353.1,355.05,294123
01/08/2025 16:10:00,355,356.1,354.9,356.05,216043
01/08/2025 16:15:00,356.05,357.5,355.9,357.15,315247
01/08/2025 16:20:00,357.3,358.65,357.15,358.2,231975
